,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
36,1.0,36.0,0.0,1721.0,80.0,64.0,0.39951573799999995,0.600484262
38,1.0,38.0,1.0,2177.0,124.0,110.0,0.38631143799999995,0.613688562
40,1.0,40.0,1.0,2362.0,128.0,110.0,0.34537246,0.65462754
42,1.0,42.0,0.0,1769.0,54.0,50.0,0.614927905,0.385072095
44,1.0,44.0,1.0,1194.0,105.0,110.0,0.529313233,0.470686767
46,1.0,46.0,0.0,1716.0,96.0,80.0,0.6672494170000001,0.332750583
48,1.0,48.0,1.0,1241.0,110.0,128.0,0.6365834,0.3634166
50,1.0,50.0,0.0,1160.0,110.0,119.0,0.6008620689999999,0.399137931
52,1.0,52.0,0.0,1158.0,58.0,50.0,0.47409326399999996,0.525906736
54,1.0,54.0,1.0,1069.0,74.0,80.0,0.557530402,0.44246959799999996
56,1.0,56.0,1.0,1124.0,66.0,80.0,0.580071174,0.41992882600000003
58,1.0,58.0,0.0,1020.0,94.0,110.0,0.598039216,0.40196078399999996
60,1.0,60.0,0.0,1254.0,75.0,80.0,0.640350877,0.35964912299999996
62,1.0,62.0,1.0,1184.0,89.0,110.0,0.530405405,0.469594595
64,1.0,64.0,0.0,2056.0,110.0,98.0,0.762159533,0.237840467
66,1.0,66.0,1.0,1123.0,110.0,94.0,0.59839715,0.40160285
68,1.0,68.0,0.0,1927.0,50.0,54.0,0.769071095,0.230928905
70,1.0,70.0,1.0,1177.0,50.0,52.0,0.5768903989999999,0.423109601
72,1.0,72.0,1.0,1127.0,87.0,110.0,0.562555457,0.43744454299999996
74,1.0,74.0,1.0,1574.0,80.0,96.0,0.620076239,0.379923761
76,1.0,76.0,1.0,1247.0,50.0,55.0,0.594226143,0.405773857
78,1.0,78.0,0.0,1163.0,45.0,50.0,0.626827171,0.373172829
80,1.0,80.0,1.0,1829.0,50.0,53.0,0.504962779,0.495037221
82,1.0,82.0,0.0,1335.0,80.0,88.0,0.5136842110000001,0.486315789
84,1.0,84.0,0.0,1322.0,103.0,110.0,0.710059172,0.289940828
86,1.0,86.0,0.0,1385.0,80.0,72.0,0.573584906,0.426415094
88,1.0,88.0,1.0,1358.0,80.0,90.0,0.627393225,0.372606775
90,1.0,90.0,0.0,1382.0,80.0,70.0,0.672955975,0.327044025
92,1.0,92.0,0.0,1058.0,82.0,80.0,0.604914934,0.39508506600000004
94,1.0,94.0,1.0,1057.0,96.0,110.0,0.586565752,0.41343424799999995
96,1.0,96.0,0.0,1375.0,60.0,50.0,0.703272727,0.296727273
98,1.0,98.0,1.0,1925.0,110.0,96.0,0.826625387,0.173374613
100,1.0,100.0,1.0,1320.0,49.0,50.0,0.675757576,0.324242424
102,1.0,102.0,0.0,1506.0,51.0,50.0,0.714991763,0.285008237
104,1.0,104.0,1.0,959.0,40.0,50.0,0.561001043,0.438998957
106,1.0,106.0,0.0,1176.0,85.0,80.0,0.657312925,0.342687075
108,1.0,108.0,0.0,1045.0,50.0,43.0,0.615311005,0.384688995
110,1.0,110.0,0.0,1112.0,50.0,60.0,0.644784173,0.35521582700000004
112,1.0,112.0,0.0,1188.0,122.0,110.0,0.7142857140000001,0.28571428600000004
114,1.0,114.0,1.0,1345.0,80.0,67.0,0.77034358,0.22965642
116,1.0,116.0,0.0,816.0,110.0,122.0,0.49877451,0.50122549
118,1.0,118.0,1.0,1032.0,110.0,112.0,0.627906977,0.37209302299999997
