,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time
92,1,92,1628.017,0,42,40,0.551180947,0.448819053,1628.017
93,1,93,2346.231,1,10,1,0.62018025,0.37981975,2346.231
94,1,94,3316.339,0,56,70,0.619833649,0.380166351,3316.339
95,1,95,3031.183,0,40,45,0.633408005,0.366591995,3031.183
96,1,96,2266.764,0,20,10,0.658114236,0.341885764,2269.764
97,1,97,1321.42,0,1,10,0.434911844,0.565088156,1321.42
98,1,98,2265.431,1,70,56,0.696249299,0.303750701,2265.431
99,1,99,4164.13,0,32,40,0.536872019,0.463127981,4164.13
100,1,100,2726.392,0,9,10,0.704048966,0.295951034,2726.392
101,1,101,2464.949,1,3,10,0.681068076,0.318931924,2464.949
102,1,102,1844.314,1,11,10,0.601805176,0.398194824,1844.314
103,1,103,4667.099,1,72,70,0.414169542,0.585830458,4667.099
104,1,104,3192.227,0,0,10,0.731078855,0.268921145,3192.227
105,1,105,2169.18,0,10,11,0.66823462,0.33176538,2169.18
106,1,106,2349.446,1,45,40,0.676317331,0.323682669,2352.446
107,1,107,3171.303,0,10,9,0.598896076,0.401103924,3171.303
108,1,108,2993.885,0,10,3,0.757000018,0.242999982,2995.885
109,1,109,2046.197,0,40,42,0.630391768,0.369608232,2046.197
110,1,110,2000.771,0,10,20,0.676536991,0.323463009,2000.771
111,1,111,3949.34,1,13,10,0.599794444,0.400205556,3949.34
112,1,112,2302.897,1,82,70,0.66545865,0.33454135,2302.897
113,1,113,1967.521,0,27,40,0.629882539,0.370117461,1967.521
114,1,114,5436.005,0,40,27,0.682164142,0.317835858,5436.005
115,1,115,1555.042,0,30,40,0.631588879,0.368411121,1558.042
116,1,116,1991.723,0,70,82,0.63033276,0.36966724,1991.723
117,1,117,3401.665,0,70,75,0.613152924,0.386847076,3401.665
118,1,118,4202.816,1,70,72,0.660220977,0.339779023,4202.816
119,1,119,2110.906,1,70,63,0.521719546,0.478280454,2110.906
120,2,0,4393.264,0,70,91,0.558020349,0.441979651,4393.264
121,2,1,9018.968,1,7,10,0.463828515,0.536171485,9018.968
122,2,2,2271.286,1,10,4,0.537987741,0.462012259,2273.286
123,2,3,13824.456,0,17,10,0.456087309,0.543912691,14053.456
124,2,4,2308.854,0,2,10,0.706991941,0.293008059,2081.854
125,2,5,6735.222,0,68,70,0.61946685,0.38053315,6738.222
126,2,6,4220.918,0,38,40,0.638724047,0.361275953,4223.918
127,2,7,4542.711,1,70,52,0.520509321,0.479490679,4542.711
128,2,8,10213.207,1,10,8,0.653330464,0.346669536,10216.207
129,2,9,12842.266,0,70,61,0.52031085,0.47968915,12842.266
130,2,10,5697.236,0,6,10,0.573003691,0.426996309,5700.236
131,2,11,9507.452,1,40,43,0.567153841,0.432846159,9510.452
132,2,12,2202.626,0,10,16,0.647532266,0.352467734,2202.626
133,2,13,10523.383,0,10,7,0.625203787,0.374796213,10525.383
134,2,14,5659.319,0,70,84,0.610065138,0.389934862,5659.319
135,2,15,11711.122,0,51,40,0.431560897,0.568439103,11711.122
136,2,16,4957.49,0,24,40,0.690455799,0.309544201,4957.49
137,2,17,4295.431,1,43,40,0.522891251,0.477108749,4295.431
138,2,18,3120.003,0,61,70,0.745035479,0.254964521,3122.003
139,2,19,6435.686,1,16,10,0.501997195,0.498002805,6435.686
140,2,20,4288.92,1,10,2,0.520529232,0.479470768,4288.92
141,2,21,9699.076,0,70,77,0.729819936,0.270180064,9699.076
142,2,22,12993.588,0,37,40,0.545549664,0.454450336,12993.588
143,2,23,6368.911,0,40,51,0.558961246,0.441038754,6371.911
144,2,24,5931.459,0,4,10,0.569551118,0.430448882,6129.459
145,2,25,13766.499,0,10,17,0.540482955,0.459517045,13698.499
146,2,26,3602.769,1,10,6,0.424200861,0.575799139,3474.769
147,2,27,8029.58,1,70,68,0.512315035,0.487684965,8029.58
148,2,28,9357.582,1,93,70,0.496770227,0.503229773,9357.582
149,2,29,14391.407,1,91,70,0.476211196,0.523788804,14391.407
150,2,30,13627.4,1,86,70,0.409603512,0.590396488,13630.4
151,2,31,4957.208,0,70,93,0.82923775,0.17076225,4957.208
152,2,32,5640.168,0,70,86,0.689929008,0.310070992,5640.168
153,2,33,8963.665,1,8,10,0.681042622,0.318957378,8965.665
154,2,34,12768.284,0,40,37,0.564012577,0.435987423,12771.284
155,2,35,13402.299,1,77,70,0.650076462,0.349923538,13402.299
156,2,36,8565.537,0,40,24,0.523764724,0.476235276,8565.537
157,2,37,8977.981,1,40,38,0.44388205,0.55611795,8977.981
158,2,38,19471.289,1,84,70,0.46188293,0.53811707,19471.289
159,2,39,3362.804,0,52,70,0.639333333,0.360666667,5615.804
160,2,40,10371.722,1,88,70,0.50319529,0.49680471,10371.722
161,2,41,6100.871,0,10,18,0.601559066,0.398440934,6100.871
162,2,42,10341.341,1,14,10,0.586722972,0.413277028,10341.341
163,2,43,6921.445,1,40,29,0.361657175,0.638342825,6921.445
164,2,44,3024.208,0,65,70,0.660349065,0.339650935,3024.208
165,2,45,8126.898,1,15,10,0.522131768,0.477868232,8126.898
166,2,46,6204.749,0,56,40,0.702991072,0.297008928,6204.749
167,2,47,4774.057,0,40,35,0.715526351,0.284473649,4774.057
168,2,48,4717.593,0,70,88,0.678993976,0.321006024,4717.593
169,2,49,12861.619,0,19,10,0.562141646,0.437858354,13026.619
170,2,50,8381.153,0,70,79,0.664158114,0.335841886,8218.153
171,2,51,7201.565,1,12,10,0.803780042,0.196219958,7203.565
172,2,52,6935.852,1,18,10,0.519667265,0.480332735,6935.852
173,2,53,8155.782,1,79,70,0.472616311,0.527383689,8155.782
174,2,54,11231.186,0,34,40,0.600081323,0.399918677,11231.186
175,2,55,13460.855,1,46,40,0.514954824,0.485045176,13460.855
176,2,56,5129.368,0,26,40,0.721036073,0.278963927,5129.368
177,2,57,3361.537,0,10,19,0.734012179,0.265987821,3361.537
178,2,58,13908.459,0,54,70,0.598873361,0.401126639,13908.459
179,2,59,6783.104,1,70,47,0.602243082,0.397756918,6786.104
180,2,60,9203.481,0,35,40,0.604409111,0.395590889,9206.481
181,2,61,5052.915,1,10,5,0.521034726,0.478965274,5052.915
182,2,62,6342.498,0,49,70,0.803390317,0.196609683,6342.498
183,2,63,3910.52,0,40,54,0.627657383,0.372342617,3910.52
