,Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,TotVal,ValCh,ValUnCh,Correct,zTotVal,zValCh,zValUnCh,zGSF,zDDT,absDDT,zValR,zValL,ConfSplit,GSFMedSplit,DDTMedSplit,BaseCode,High,Low
2252,10,93,8,58,50,1,3211.647,64,956.654,LESS,1020,1142,2162,3,2,-8.0,-0.7499267685395902,8.0,-0.17460757394239454,0.02144119920012621,0.3783175751162256,108,58,50,0,-1.0371414290548238,-0.8583670733300858,-1.170500554541026,-0.11623018807364008,0.9266692792196262,0.9266692792196262,-1.170500554541026,-0.8583670733300858,0,1,1,0,-0.8583670733300858,-1.170500554541026
2253,10,94,44,119,110,1,1058.044,100,761.7860000000002,LESS,938,398,1336,1,2,-9.0,-0.8436676146070391,9.0,0.0,1.2564542731273958,-1.0733695333165951,229,119,110,0,1.376206896245824,1.5216507209033339,1.170500554541026,-1.3560188608591341,0.8253320446087514,0.8253320446087514,1.170500554541026,1.5216507209033339,1,0,1,2,1.5216507209033339,1.170500554541026
2254,10,95,34,74,80,0,5221.032,14,1234.061,LESS,-1744,3612,1868,5,1,6.0,0.5624450764046927,6.0,-0.5238227218271837,-1.6938547368099706,1.732791124966539,154,74,80,1,-0.11967016489094122,-0.2341001109082052,0.0,1.123558484711854,-2.4891370191274205,2.4891370191274205,0.0,-0.2341001109082052,0,1,0,1,-0.2341001109082052,0.0
2255,10,96,24,86,80,1,3255.794000000001,54,1777.875,LESS,436,1398,1834,5,2,-6.0,-0.5624450764046927,6.0,-0.5238227218271837,-0.3216179880018931,0.4080759060509359,166,86,80,0,0.11967016489094122,0.2341001109082052,0.0,1.123558484711854,0.20495043760071321,0.20495043760071321,0.0,0.2341001109082052,0,1,1,1,0.2341001109082052,0.0
2256,10,97,39,66,80,0,1430.463,84,3518.32,LESS,314,682,996,2,2,14.0,1.3123718449442827,14.0,0.8730378697119728,0.7075595736041649,-0.8223316859345837,146,66,80,1,-0.2792303847455295,-0.5462335921191455,0.0,-0.7361245244663871,0.05418040561868006,0.05418040561868006,0.0,-0.5462335921191455,1,0,1,1,-0.5462335921191455,0.0
2257,10,98,9,50,59,0,1610.642,94,1679.757,LESS,266,1064,1330,2,2,9.0,0.8436676146070391,9.0,0.0,1.0506187608061843,-0.700877763595918,109,50,59,1,-1.0171964015730004,-1.170500554541026,-0.8193503881787182,-0.7361245244663871,-0.005138951226710043,0.005138951226710043,-0.8193503881787182,-1.170500554541026,1,0,0,0,-1.170500554541026,-0.8193503881787182
2258,10,99,57,94,110,1,2074.197,24,1065.451,LESS,108,968,1076,3,1,16.0,1.4998535370791803,16.0,1.222253017596762,-1.3507955496079511,-0.3884075369340976,204,94,110,1,0.8775812092002355,0.5462335921191455,1.170500554541026,-0.11623018807364008,-0.2003985008427858,0.2003985008427858,1.170500554541026,0.5462335921191455,0,1,0,2,1.170500554541026,0.5462335921191455
2259,10,100,60,110,87,1,1262.237,14,1140.017,LESS,306,664,970,1,1,-23.0,-2.1560394595513217,23.0,2.444506035193524,-1.6938547368099706,-0.935728405526458,197,110,87,0,0.7379660168274708,1.170500554541026,0.27311679605957273,-1.3560188608591341,0.044293846144448375,0.044293846144448375,0.27311679605957273,1.170500554541026,0,0,1,2,1.170500554541026,0.27311679605957273
2260,10,101,33,75,80,0,2945.857,84,776.8839999999999,LESS,-96,1704,1608,4,2,5.0,0.4687042303372438,5.0,-0.6984302957695783,0.7075595736041649,0.1991555306027477,155,75,80,1,-0.09972513740911768,-0.19508342575683765,0.0,0.503664148319107,-0.4525057674356937,0.4525057674356937,0.0,-0.19508342575683765,1,1,0,1,-0.19508342575683765,0.0
2261,10,102,15,50,45,1,7351.654,14,1809.164,LESS,-1090,4356,3266,6,1,-5.0,-0.4687042303372438,5.0,-0.6984302957695783,-1.6938547368099706,3.1689873460636284,95,50,45,0,-1.2964267863185297,-1.170500554541026,-1.3655839802978638,1.743452821104601,-1.6809107821089804,1.6809107821089804,-1.3655839802978638,-1.170500554541026,0,1,0,0,-1.170500554541026,-1.3655839802978638
