,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,RT
1811,16,11,2935.1940000000004,0,80,83,0.5577798942618836,0.44222010573811643,2736.1940000000004
1812,16,12,1436.7420000000006,1,50,56,0.4432484299542972,0.5567515700457027,1436.7420000000002
1813,16,13,3460.248,0,50,47,0.774910394265233,0.22508960573476702,3743.248
1814,16,14,2347.5460000000007,1,110,124,0.4979302955710359,0.5020697044289641,2064.5460000000003
1815,16,15,4932.093,1,91,80,0.3626131740230136,0.6373868259769865,4932.093
1816,16,16,3935.056,1,64,80,0.5246985031077877,0.47530149689221235,3935.0559999999996
1817,16,17,2121.737,1,83,80,0.573179556737598,0.426820443262402,2121.737
1818,16,18,1531.599,1,101,110,0.4215933584266946,0.5784066415733055,1531.5989999999997
1819,16,19,2478.458,0,56,50,0.6925081945672277,0.3074918054327724,2478.458
1820,16,20,3828.946,0,50,42,0.6756559706559514,0.3243440293440486,3828.946
1821,16,21,4461.252,1,110,117,0.4689506545022565,0.5310493454977435,4461.252
1822,16,22,2795.627,0,77,80,0.670669211923186,0.32933078807681404,2795.627
1823,16,23,3155.075,0,80,91,0.516993559342384,0.48300644065761605,3155.075
1824,16,24,1472.473,1,44,50,0.3677536231884058,0.6322463768115942,2292.473
1825,16,25,1866.506,1,50,57,0.23315680942106393,0.766843190578936,1046.5060000000003
1826,16,26,1862.875,0,50,46,0.6490528414755733,0.3509471585244267,1862.875
1827,16,27,1877.529,0,110,108,0.6247401051093219,0.3752598948906781,1877.529
1828,16,28,1935.355,0,133,110,0.5996125662773684,0.4003874337226316,1935.355
1829,16,29,4587.041,1,131,110,0.5096548077628522,0.49034519223714773,4587.041
1830,16,30,2047.813,0,126,110,0.6560086118738574,0.3439913881261426,2047.813
1831,16,31,1788.521,1,110,133,0.5521982886930735,0.4478017113069264,1788.5210000000002
1832,16,32,2422.426,1,110,126,0.493376776899163,0.506623223100837,2422.426
1833,16,33,2130.592,1,48,50,0.4969743035051305,0.5030256964948695,2130.592
1834,16,34,2285.173,1,80,77,0.4337336070286192,0.5662663929713808,2285.173
1835,16,35,4221.68,0,117,110,0.8339539644171512,0.1660460355828488,4221.68
1836,16,36,1724.138,0,80,64,0.6116218539724501,0.38837814602754983,1724.138
1837,16,37,2763.993,0,80,78,0.5376589597807365,0.4623410402192634,2763.993
1838,16,38,1961.624,0,124,110,0.6534586908851523,0.3465413091148477,1961.624
1839,16,39,3086.572,1,92,110,0.46495751468268404,0.535042485317316,3086.572
1840,16,40,2297.314,1,128,110,0.5625662380308427,0.4374337619691573,2297.314
1841,16,41,1450.68,1,50,58,0.38428004004262595,0.6157199599573739,1450.6800000000003
1842,16,42,1785.609,0,54,50,0.645300652840271,0.3546993471597289,1785.609
1843,16,43,3070.115,0,80,69,0.6846253102081716,0.3153746897918284,3070.115
1844,16,44,2001.393,0,105,110,0.7050364202689692,0.29496357973103077,2001.393
1845,16,45,3542.867,1,55,50,0.5344268926948849,0.4655731073051152,3542.867
1846,16,46,1684.057,0,96,80,0.6122183752899041,0.3877816247100959,1684.057
1847,16,47,3277.203,0,80,75,0.6037609133646743,0.3962390866353257,3474.203
1848,16,48,2804.936,1,110,128,0.5556537102473498,0.44434628975265017,2791.9359999999997
1849,16,49,2607.568,0,59,50,0.5363992262647469,0.4636007737352531,2423.5679999999998
1850,16,50,4602.334,1,110,119,0.47054659179606256,0.5294534082039374,4602.334
1851,16,51,2088.893,1,52,50,0.5032829996100642,0.4967170003899359,2088.893
1852,16,52,2599.006,0,58,50,0.727766861544397,0.272233138455603,2599.0060000000003
1853,16,53,2728.257,0,119,110,0.49512790552512015,0.5048720944748798,2728.257
1854,16,54,1424.432,1,74,80,0.3617136017467479,0.6382863982532522,1424.432
1855,16,55,4003.233,0,86,80,0.40341716613791667,0.5965828338620833,4003.2329999999997
1856,16,56,2458.65,1,66,80,0.4954727818823581,0.5045272181176419,2458.65
1857,16,57,1380.082,1,50,59,0.44644264871602096,0.5535573512839791,1380.082
1858,16,58,2036.945,1,94,110,0.4718755157756319,0.5281244842243681,2036.9449999999997
1859,16,59,2979.857,0,110,87,0.6569164011114449,0.34308359888855516,2979.857
1860,16,60,1563.707,1,75,80,0.33947521211737103,0.660524787882629,1563.7069999999999
1861,16,61,1949.932,0,50,45,0.6959610467108204,0.3040389532891796,1949.932
1862,16,62,1564.188,1,89,110,0.3887532506545486,0.6112467493454514,1564.1879999999999
1863,16,63,1570.775,1,80,94,0.3450900786602385,0.6549099213397617,1570.775
1864,16,64,2046.326,0,110,98,0.6521412220214052,0.3478587779785948,2046.326
1865,16,65,1989.609,1,94,80,0.2563213107246545,0.7436786892753454,1989.609
1866,16,66,4922.105,0,110,94,0.7150201577582153,0.2849798422417848,4922.105
1867,16,67,2979.601,0,80,66,0.7439453947377543,0.2560546052622457,2979.6009999999997
1868,16,68,1501.083,0,50,54,0.5906601021235073,0.40933989787649266,1501.0829999999999
1869,16,69,4729.0,1,98,110,0.6706586826347305,0.32934131736526945,4729.0
1870,16,70,1268.247,1,50,52,0.496566206774338,0.5034337932256618,1268.2470000000003
1871,16,71,1773.473,0,110,89,0.6135635322878009,0.3864364677121992,1773.473
1872,16,72,3472.1,1,87,110,0.4343644317582452,0.5656355682417549,3472.1
1873,16,73,3527.954,1,110,105,0.5504775149941467,0.4495224850058534,3527.954
1874,16,74,1474.216,1,80,96,0.40348091051116186,0.5965190894888381,1474.2160000000001
1875,16,75,2694.1890000000008,1,80,86,0.5465877934603415,0.4534122065396585,2694.1890000000003
1876,16,76,1369.8,1,50,55,0.4154978962131837,0.5845021037868162,1369.8
1877,16,77,2337.132,0,80,74,0.7098479678961426,0.2901520321038574,2337.132
1878,16,78,1163.444,1,45,50,0.46298099181778457,0.5370190081822155,1163.444
1879,16,79,2544.723,1,69,80,0.579971692200532,0.42002830779946804,2544.723
1880,16,80,3447.013,0,50,53,0.5622509005148237,0.43774909948517626,3447.013
1881,16,81,2861.298,0,50,40,0.5530891579580703,0.44691084204192966,2861.298
1882,16,82,1581.868,1,80,88,0.5814747852832863,0.4185252147167136,1581.868
1883,16,83,3253.2790000000005,1,115,110,0.4289610156620882,0.5710389843379118,3253.2790000000005
1884,16,84,1378.583,1,103,110,0.4587856151737306,0.5412143848262694,1378.5829999999999
1885,16,85,1118.566,1,90,80,0.43240218490280485,0.5675978150971951,1118.566
1886,16,86,4386.187,0,80,72,0.5506243264401411,0.4493756735598588,4386.187
1887,16,87,4784.368,0,93,80,0.683835364451598,0.31616463554840196,4784.3679999999995
1888,16,88,4116.16,0,80,90,0.6185749879523014,0.38142501204769863,4116.16
1889,16,89,2423.192,0,88,80,0.7694209628271118,0.23057903717288816,2423.192
1890,16,90,1776.985,0,80,70,0.6845396013211481,0.3154603986788519,1776.985
1891,16,91,1505.001,1,80,93,0.4603043622258522,0.5396956377741478,1505.0010000000002
1892,16,92,1452.55,1,82,80,0.41857014564054507,0.5814298543594549,1452.55
1893,16,93,1761.95,0,50,41,0.6284869111612965,0.3715130888387035,1761.95
1894,16,94,1458.171,1,96,110,0.38456479955328954,0.6154352004467105,1458.171
1895,16,95,2013.089,1,80,85,0.554034798764341,0.44596520123565897,2013.089
1896,16,96,1090.55,1,60,50,0.456438267265156,0.543561732734844,1090.55
1897,16,97,1368.803,1,41,50,0.37604358623715295,0.623956413762847,1368.8029999999999
1898,16,98,3310.863,0,110,96,0.6239532281522692,0.3760467718477309,3310.863
1899,16,99,1333.375,1,72,80,0.5355648535564853,0.46443514644351463,1333.375
1900,16,100,1099.681,1,49,50,0.42920325792097963,0.5707967420790203,1099.681
1901,16,101,1094.369,1,43,50,0.41141284958039115,0.5885871504196089,1094.3689999999997
1902,16,102,1480.236,1,51,50,0.6019169466568709,0.3980830533431291,1480.236
1903,16,103,2309.8160000000007,1,112,110,0.5203159251566079,0.47968407484339215,2309.8160000000003
1904,16,104,1215.538,1,40,50,0.3821114327329801,0.6178885672670199,1215.538
1905,16,105,2433.235,0,50,51,0.5501417980878708,0.4498582019121292,2433.235
1906,16,106,2634.328,1,85,80,0.3907799267433451,0.609220073256655,2634.328
1907,16,107,3138.709000000001,0,50,49,0.6431859215437205,0.35681407845627955,3138.7090000000003
1908,16,108,2271.006,0,50,43,0.6819075430713724,0.31809245692862764,2271.006
1909,16,109,1691.994,1,80,82,0.30546083812372404,0.6945391618762758,1691.9940000000001
1910,16,110,1163.123,1,50,60,0.41540678537802445,0.5845932146219756,1165.123
1911,16,111,2011.25,1,53,50,0.4958087123814759,0.5041912876185242,2011.25
1912,16,112,1789.399,0,122,110,0.6003505389316831,0.3996494610683169,1789.399
1913,16,113,1387.178,1,67,80,0.41619064516182525,0.5838093548381748,1387.1779999999999
1914,16,114,1788.973,0,80,67,0.6164853698331056,0.3835146301668943,1788.973
1915,16,115,1354.686,1,70,80,0.47404849799148474,0.5259515020085153,1354.6860000000001
1916,16,116,1574.639,0,110,122,0.612849092462143,0.38715090753785697,1574.639
1917,16,117,3036.334000000001,0,110,115,0.5431939792117905,0.45680602078820953,3036.3340000000003
1918,16,118,2535.757,0,110,112,0.7307741924627992,0.2692258075372008,2535.757
1919,16,119,1278.781,1,110,103,0.4430813409473528,0.5569186590526473,1278.781
1920,17,0,5160.755,1,110,131,0.4868298906303657,0.5131701093696343,5160.755
1921,17,1,5476.752,1,47,50,0.49781520569739024,0.5021847943026098,5476.7519999999995
1922,17,2,8795.442,0,50,44,0.5933358923711213,0.4066641076288787,8795.442
1923,17,3,2722.045,0,57,50,0.4822103855165695,0.5177896144834305,2725.045
1924,17,4,2295.407,1,42,50,0.37604940221210204,0.623950597787898,2295.407
1925,17,5,8504.661,1,108,110,0.4859945054204417,0.5140054945795582,8506.661
1926,17,6,8819.823,1,78,80,0.37988279484004017,0.6201172051599598,8822.823
1927,17,7,5062.996,0,110,92,0.598329368327197,0.4016706316728031,5062.996
1928,17,8,5747.128000000002,1,50,48,0.551747887115798,0.448252112884202,5747.128000000001
1929,17,9,9253.138,1,110,101,0.49380786666447807,0.5061921333355219,9253.138
1930,17,10,4601.858,1,46,50,0.3757723270264559,0.6242276729735441,4601.858
1931,17,11,5596.897,0,80,83,0.6002273094179815,0.3997726905820184,5596.897
1932,17,12,4091.185,1,50,56,0.4742028985507246,0.5257971014492754,4159.1849999999995
1933,17,13,6796.208000000001,0,50,47,0.4750459557730677,0.5249540442269323,6728.2080000000005
1934,17,14,2675.7490000000007,1,110,124,0.4907197978043862,0.5092802021956139,2675.7490000000003
1935,17,15,5472.234,0,91,80,0.3392494831510581,0.6607505168489419,5472.234
1936,17,16,8278.929,1,64,80,0.5409504530460044,0.4590495469539956,8278.929
1937,17,17,11238.256,1,83,80,0.48570236435232267,0.5142976356476774,11238.256000000001
1938,17,18,14285.494,1,101,110,0.5053442289819481,0.4946557710180519,14288.493999999999
1939,17,19,7703.028,1,56,50,0.6324097521501126,0.36759024784988736,7706.028
