,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
80,2,80,0,7575.096,83,80,0.487483389,0.512516611
82,2,82,0,7008.028,53,45,0.639995732,0.36000426799999996
84,2,84,0,2747.4959999999996,30,23,0.658105717,0.34189428299999997
86,2,86,0,4775.54,53,61,0.63402706,0.36597294
88,2,88,0,5461.1669999999995,53,43,0.579441844,0.420558156
90,2,90,1,15416.275,53,63,0.562059795,0.437940205
92,2,92,1,5931.903,51,53,0.5605242189999999,0.439475781
94,2,94,0,5824.12,37,23,0.592795979,0.407204021
96,2,96,1,8031.564,73,83,0.614044766,0.385955234
98,2,98,1,14101.24,23,37,0.528823156,0.471176844
100,2,100,0,5628.714,84,83,0.713315791,0.28668420899999997
102,2,102,0,13191.96,82,83,0.598301041,0.40169895899999997
104,2,104,0,13209.633,93,83,0.6030756279999999,0.396924372
106,2,106,0,11160.33,48,53,0.622132792,0.37786720799999995
108,2,108,1,3856.248,83,90,0.518198927,0.48180107299999997
110,2,110,0,2950.9429999999998,83,73,0.708817427,0.291182573
112,2,112,1,7723.314,11,23,0.568073803,0.431926197
114,2,114,1,5191.56,53,66,0.576757223,0.423242777
116,2,116,0,5824.51,23,11,0.563031729,0.436968271
118,2,118,0,4334.927,23,21,0.735188383,0.264811617
0,3,0,1,4612.844,23,2,0.533137803,0.46686219700000003
2,3,2,0,3949.32,83,89,0.703151862,0.296848138
4,3,4,0,3063.877,91,83,0.678125,0.321875
6,3,6,0,3503.5170000000003,55,53,0.68117501,0.31882499
8,3,8,1,4202.759,83,85,0.424967885,0.575032115
10,3,10,0,4765.607,87,83,0.542826867,0.45717313299999995
12,3,12,0,2648.53,83,77,0.707317073,0.292682927
14,3,14,0,2249.129,23,9,0.607803647,0.392196353
16,3,16,0,1595.809,69,53,0.698689373,0.301310627
18,3,18,1,3256.513,32,23,0.45842196399999996,0.541578036
20,3,20,0,2088.328,83,91,0.598893499,0.401106501
22,3,22,1,3153.39,56,53,0.463077814,0.536922186
24,3,24,0,1597.213,89,83,0.638308399,0.36169160100000003
26,3,26,1,3544.6479999999997,83,87,0.458231955,0.541768045
28,3,28,1,2793.11,0,23,0.45061721,0.54938279
30,3,30,1,3968.847,7,23,0.408280621,0.5917193789999999
32,3,32,0,2112.499,23,7,0.618020305,0.381979695
34,3,34,0,3646.655,53,56,0.750565185,0.249434815
36,3,36,1,4104.806,53,69,0.405710886,0.594289114
38,3,38,1,5902.977,9,23,0.41771852,0.58228148
