,predictors,tvals,pvals,betas,se,ci0,ci1,df,n,r2
const,const,1.9809961261203834,0.058261497626835204,0.127182951026303,0.06420151425302394,-0.004785151526237569,0.2591510535788436,26.0,28.0,0.2217423055707075
glam_full_D,glam_full_D,2.7217563311742627,0.011433717897842265,0.45420274755761286,0.1668785491027603,0.11117897719887926,0.7972265179163465,26.0,28.0,0.2217423055707075
