,predictors,tvals,pvals,betas,se,ci0,ci1,df,n,r2
const,const,4.063352229728071,0.00039624186449484407,0.1448614154045135,0.03565071576731313,0.07158031963611179,0.21814251117291522,26.0,28.0,0.41809468341128553
glam_full_L,glam_full_L,4.32213008517052,0.00020099847672713704,0.46780413737289633,0.10823462694423741,0.24532467540848746,0.6902835993373052,26.0,28.0,0.41809468341128553
