,predictors,tvals,pvals,betas,se,ci0,ci1,df,n,r2
const,const,4.430443696625015,0.00015112183027159282,0.5249650658244462,0.11849040452186528,0.28140455113304985,0.7685255805158426,26.0,28.0,0.13790160609561364
glam_full_L,glam_full_L,2.0393554043775315,0.051698995216633445,0.3231492753284048,0.1584565763450334,-0.0025628820953729203,0.6488614327521826,26.0,28.0,0.13790160609561364
