,gamma,v,tau,s
0,8.18152058122744,12.026680348888545,37.28630887311749,22.85950952138628
1,7.310257625788196,31.07274301334634,18.731262753813372,13.550428215397497
2,6.110439437069073,11.852888647354812,11.27086669320858,35.480607847613605
3,12.213135604783727,11.04582036942178,38.10257205849955,64.2905285197379
4,6.5708453207269635,33.410127644176065,16.75513823481803,40.62653424943116
5,62.78036724325884,20.518813197698194,26.174689401308918,65.55348923081486
6,5.939634239067179,13.224573777680597,11.463674832052716,86.29274947240552
7,6.8283227246603495,7.762845107115768,17.809039929209682,10.323321079210912
8,7.4319562355563145,25.421696806828216,11.437265376114345,43.27628966704866
9,6.202343797983296,7.956899768696694,9.879971592776464,18.068736954120972
10,17.003548596604887,5.620905582932812,58.033985160583235,12.09697985797683
11,5.857119131636139,11.815207666059376,21.60009483867914,51.48235263541152
12,21.557491236810332,12.337803266100009,27.06029193215396,5.810038916514303
13,10.663996323132691,6.811396086238866,14.88861757393641,23.867433189828567
14,26.206244419087454,30.108327106358068,9.712210062461414,122.02165473484074
15,13.934063138132307,7.0500087842988375,12.208074359508345,18.113390696944588
16,8.321236462451388,16.50658026986372,49.363087686475765,81.28658065873645
17,7.222772502089882,21.027507259521116,14.344394472655026,23.906180847728372
18,5.296818616754244,30.767874592968774,24.95171843623481,52.60674077273118
19,9.256248139833456,20.491739426826882,6.683891796753231,38.591755126266406
20,5.593155188441412,30.975422811622355,20.40341936002778,20.663762382835895
21,5.785793260059025,7.984396952572212,46.78834469319496,24.52476439234575
22,12.929213582733082,7.506661401827095,20.061896524112406,18.001094804294027
23,11.609423886119641,7.712264534221635,7.714065421719352,20.982625544001667
24,6.232625316439162,12.907150179705097,31.628440544197264,81.54011481376264
25,9.875486558938919,15.390718649688877,9.47155651563037,19.86263829793982
26,6.393136362312916,8.616980867234654,5.855200147727035,84.99177121479993
27,28.375482516569146,11.127620518197395,28.47977054015166,15.11411943330576
28,12.286436285819216,10.16813908116489,9.330823834505546,27.10124563171741
29,6.202748267390495,7.786556128448324,10.796724794719118,20.019219963948665
30,7.723087373552688,14.508745853010673,19.542557704428596,13.107334356490757
31,7.048945625477337,17.025292994369682,12.135617686187024,65.51220922064576
